UserName,Views,Minutes Delivered,Average Minutes Delivered
1708876,68,495.9161706,7.292884862
1709960,88,540.7681984,6.145093164
1710210,36,188.6298426,5.23971785
1710392,26,205.5761389,7.906774573
1710581,95,655.063156,6.895401642
1710702,89,566.415607,6.364220304
1711023,109,794.5640675,7.289578601
1711185,70,233.830751,3.3404393
1711282,62,440.5205501,7.105170163
1711317,2,4.6245564,2.3122782
1711633,35,182.456835,5.213052429
1711648,145,1075.118884,7.414612995
1711768,23,136.9041456,5.952354157
1712167,17,129.5800449,7.622355584
1712497,6,41.4522602,6.908710033
1712583,5,36.91232528,7.382465057
1712680,28,124.7546037,4.45552156
1712699,144,366.7485377,2.546864845
1712906,88,474.4816203,5.391836594
1712958,58,437.2879429,7.539447291
1713180,54,422.6661503,7.827150931
1713462,194,1398.185819,7.207143395
1713537,204,1037.969767,5.088087093
1713647,111,781.9977836,7.045025077
1713916,50,333.9939708,6.679879417
1714251,44,249.7361535,5.675821671
1714447,11,45.98582189,4.180529263
1714645,38,337.609081,8.884449501
1714759,93,559.1592731,6.012465302
1715173,41,203.3685076,4.960207503
1715246,90,635.9360659,7.065956288
1715463,10,40.87047782,4.087047782
1715523,14,130.1663259,9.297594707
1715572,19,81.20464747,4.273928814
1715831,16,125.7798638,7.861241485
1716132,21,138.8227041,6.610604956
1716159,78,465.8850763,5.972885594
1716238,4,30.33417187,7.583542967
1716725,48,409.4545488,8.5303031
1716737,34,223.0967884,6.561670248
1717019,8,49.22980015,6.153725019
1717061,30,214.3481266,7.144937553
1717357,64,432.3179918,6.754968622
1717427,39,256.0615764,6.565681446
1718649,46,241.1949776,5.243369079
1721930,72,456.7708242,6.344039225
1722079,55,349.7163133,6.358478424
1722174,30,210.9997361,7.033324536
1722250,59,359.6627443,6.095978716
1722251,2,17.4148,8.7074
1722496,44,230.6701915,5.242504352
1722497,45,269.4991342,5.98886965
1722723,67,534.856068,7.982926389
1722994,68,502.0052591,7.382430281
1723931,8,51.25728217,6.407160271
1723981,8,54.51911107,6.814888884
1724149,96,588.8684488,6.134046342
1724596,11,56.80225665,5.163841514
1724762,79,607.7136158,7.692577415
1725388,68,396.6445185,5.833007624
1725400,53,394.7868364,7.448808234
1727132,12,94.05267605,7.837723004
1728204,125,849.5107251,6.796085801
1728299,1,0.182833283,0.182833283
1728542,31,207.9990131,6.709645582
1729990,25,83.28624737,3.331449895
1730123,56,482.3921259,8.614145106
1730651,30,199.3753206,6.645844019
1732556,32,84.32357707,2.635111783
1733524,28,148.9702386,5.320365665
1733741,34,220.8527179,6.495668173
1733808,10,87.56096464,8.756096464
1734337,10,60.52583665,6.052583665
1734618,62,518.7573186,8.367053525
1735006,44,182.5671878,4.149254269
1735082,222,1946.762924,8.769202362
1736775,97,650.7876705,6.709151242
1736862,29,195.342541,6.73594969
1736945,6,34.47225522,5.745375869
1737306,41,398.832644,9.727625464
1737392,29,157.7900974,5.441037841
1738310,87,244.7171381,2.812840668
1738727,31,184.1127508,5.939120993
1741443,64,581.8349449,9.091171014
1742137,20,119.5379107,5.976895535
1742149,9,49.51080885,5.501200983
1742913,60,388.6548588,6.477580979
1744878,1,3.34164925,3.34164925
1745104,146,497.0090927,3.404171868
1745400,24,185.9139179,7.746413246
1745897,102,856.6996772,8.399016443
1748559,135,904.4997679,6.699998281
1752460,43,267.9241202,6.230793493
1753727,57,298.1382878,5.230496277
1754610,62,375.5173898,6.056732093
1755155,33,197.5301732,5.985762824
1755289,23,152.7320178,6.640522513
1755974,108,657.3805747,6.086857173
1757795,2,14.22469467,7.112347333
1757986,28,199.5524029,7.126871533
1758744,3,5.333299417,1.777766472
1759946,61,404.5931326,6.632674305
1760303,32,193.4602276,6.045632113
1760787,1,0.422181633,0.422181633
1760935,1,9.322305567,9.322305567
1761675,16,124.6551544,7.790947149
1763210,12,104.5748125,8.71456771
1765005,101,611.8609801,6.058029506
1765564,16,75.76681768,4.735426105
1766181,256,1978.899055,7.730074432
1769251,60,366.4367752,6.107279586
1769276,112,847.9070472,7.570598636
1770085,91,761.5536319,8.36872123
1771201,21,164.8023791,7.84773234
1771839,35,345.9698681,9.884853375
1772813,9,50.24660335,5.582955928
1774158,16,89.5139093,5.594619331
1774179,95,342.1768733,3.601861824
1774812,41,235.2390199,5.73753707
1776660,66,404.9767244,6.136010975
1776865,1,0.517407383,0.517407383
1777049,39,311.7454451,7.993472952
1786254,25,210.7320529,8.429282116
1797318,18,125.2793367,6.95996315
1797324,63,319.4931657,5.07132009
1797327,45,291.5369738,6.478599417
1797335,46,298.6340865,6.492045358
460090,128,637.6058506,4.981295707
500874,60,320.6701756,5.344502927
678170,95,716.1328689,7.538240725
698384,87,676.0803135,7.771038086
709832,3,20.33061667,6.776872222
715210,62,578.6028152,9.33230347
717365,6,46.92070513,7.820117522
718959,80,674.4144048,8.43018006
721573,6,51.54394543,8.590657572
742161,1,0.164893167,0.164893167
748143,15,83.82428458,5.588285639
829325,44,290.9475134,6.612443485
847629,1,0.809769357,0.809769357
859564,40,233.6004005,5.840010011
863302,99,768.0431681,7.758011799
879797,10,40.69922085,4.069922085
